item_id,user_id,artist_id,rating
1,1,1,1
2,2,1,2
3,3,1,3
4,4,1,1
5,5,1,4
6,6,1,5
7,7,1,5
8,8,1,5
9,9,1,5
10,10,2,4
11,1,2,3
12,2,2,4
13,3,2,1
14,4,2,3
15,5,2,4
16,6,2,3
17,7,2,2
18,8,2,1
19,9,2,2
20,10,3,5
21,1,3,1
22,2,3,2
23,3,3,3
24,4,3,1
25,5,3,4
26,6,3,5
27,7,3,5
28,8,3,5
29,9,3,5
30,10,4,4
31,1,4,1
32,2,4,2
33,3,4,3
34,4,4,1
35,5,4,4
36,6,4,5
37,7,4,5
38,8,4,5
39,9,4,5
40,10,4,4
51,1,1,1
52,2,1,2
53,3,1,3
54,4,1,1
55,5,1,4
56,6,1,5
57,7,1,5
58,8,1,5
59,9,1,5
60,10,1,3
71,1,2,4
72,2,2,4
73,3,2,4
74,4,2,4
75,5,2,3
76,6,2,2
77,7,2,1
78,8,2,2
79,9,2,3
80,10,2,2
91,1,2,5
92,2,2,5
93,3,2,5
94,4,2,5
95,5,2,5
96,6,2,4
97,7,2,3
98,8,2,4
99,9,2,5
100,10,2,2
101,1,3,3
102,2,3,4
103,3,3,4
104,4,3,3
105,5,3,3
106,6,3,4
107,7,3,5
108,8,3,3
109,9,3,4
110,10,3,2
